"","rules","support","confidence","lift"
"2","{} => {Flight.Status=0}",0.805542935029532,0.805542935029532,1
"6","{DAY_WEEK=6} => {Flight.Status=0}",0.102680599727397,0.904,1.12222447828539
"9","{DAY_WEEK=7} => {Flight.Status=0}",0.0840527033166742,0.731225296442688,0.9077421756742
"13","{Time.Bins=3} => {Flight.Status=0}",0.0895047705588369,0.766536964980545,0.95157803718115
"17","{CARRIER=MQ} => {Flight.Status=0}",0.0976828714220809,0.728813559322034,0.904748248205187
"20","{DAY_WEEK=2} => {Flight.Status=0}",0.110858700590641,0.794788273615635,0.986649176665546
"23","{DAY_WEEK=1} => {Flight.Status=0}",0.101771921853703,0.727272727272727,0.902835461211096
"26","{DAY_WEEK=3} => {Flight.Status=0}",0.119491140390731,0.821875,1.02027460518895
"29","{DAY_WEEK=4} => {Flight.Status=0}",0.14311676510677,0.846774193548387,1.05118443316413
"33","{DEST=JFK} => {Flight.Status=0}",0.13721035892776,0.782383419689119,0.971249806393543
"37","{CARRIER=DL} => {Flight.Status=0}",0.154929577464789,0.878865979381443,1.09102313627668
"40","{DAY_WEEK=5} => {Flight.Status=0}",0.143571104043617,0.808184143222506,1.00327879257346
"44","{CARRIER=US} => {Flight.Status=0}",0.167651067696502,0.913366336633663,1.13385183696035
"48","{CARRIER=RU} => {Flight.Status=0}",0.142662426169923,0.769607843137255,0.955390221514438
"54","{CARRIER=DH} => {Flight.Status=0}",0.188096319854612,0.751361161524501,0.932738813601481
"56","{DEST=EWR} => {Flight.Status=0}",0.228986824170831,0.757894736842105,0.940849585893668
"58","{ORIGIN=IAD} => {Flight.Status=0}",0.234438891412994,0.752186588921283,0.933763498147627
"62","{Time.Bins=1} => {Flight.Status=0}",0.275329395729214,0.866952789699571,1.0762341173879
"64","{Time.Bins=2} => {Flight.Status=0}",0.394820536119945,0.784296028880866,0.973624117070946
"68","{DEST=LGA} => {Flight.Status=0}",0.43934575193094,0.840869565217391,1.0438544348807
"70","{ORIGIN=DCA} => {Flight.Status=0}",0.522035438437074,0.838686131386861,1.04114392283276
"75","{Weather=0} => {Flight.Status=0}",0.805542935029532,0.817427385892116,1.01475334255417
"78","{Weather=0,DAY_WEEK=6} => {Flight.Status=0}",0.102680599727397,0.904,1.12222447828539
"83","{Weather=0,DAY_WEEK=7} => {Flight.Status=0}",0.0840527033166742,0.737051792828685,0.914975181058058
"86","{Time.Bins=3,DEST=LGA} => {Flight.Status=0}",0.0667878237164925,0.835227272727273,1.03685009998462
"90","{Time.Bins=3,ORIGIN=DCA} => {Flight.Status=0}",0.0822353475692867,0.78695652173913,0.976926849603963
"95","{Time.Bins=3,Weather=0} => {Flight.Status=0}",0.0895047705588369,0.775590551181102,0.962817147856518
"99","{CARRIER=MQ,DEST=LGA} => {Flight.Status=0}",0.0654248069059518,0.705882352941177,0.876281477057828
"103","{CARRIER=MQ,ORIGIN=DCA} => {Flight.Status=0}",0.0976828714220809,0.728813559322034,0.904748248205187
"108","{CARRIER=MQ,Weather=0} => {Flight.Status=0}",0.0976828714220809,0.754385964912281,0.93649380077379
"112","{DEST=LGA,DAY_WEEK=2} => {Flight.Status=0}",0.0681508405270332,0.867052023121387,1.07635730563462
"115","{ORIGIN=DCA,DAY_WEEK=2} => {Flight.Status=0}",0.0758746024534303,0.843434343434343,1.04703834737676
"120","{Weather=0,DAY_WEEK=2} => {Flight.Status=0}",0.110858700590641,0.835616438356164,1.03733320971343
"124","{DEST=LGA,DAY_WEEK=1} => {Flight.Status=0}",0.0604270786006361,0.777777777777778,0.965532368239644
"126","{ORIGIN=DCA,DAY_WEEK=1} => {Flight.Status=0}",0.0699681962744207,0.785714285714286,0.97538473934413
"131","{Weather=0,DAY_WEEK=1} => {Flight.Status=0}",0.101771921853703,0.761904761904762,0.945827626030672
"135","{DEST=LGA,DAY_WEEK=3} => {Flight.Status=0}",0.0658791458427987,0.833333333333333,1.03449896597105
"137","{ORIGIN=DCA,DAY_WEEK=3} => {Flight.Status=0}",0.0772376192639709,0.833333333333333,1.03449896597105
"142","{Weather=0,DAY_WEEK=3} => {Flight.Status=0}",0.119491140390731,0.821875,1.02027460518895
"143","{Time.Bins=2,DAY_WEEK=4} => {Flight.Status=0}",0.0731485688323489,0.851851851851852,1.05748783188151
"147","{DEST=LGA,DAY_WEEK=4} => {Flight.Status=0}",0.072694229895502,0.816326530612245,1.01338674217572
"149","{ORIGIN=DCA,DAY_WEEK=4} => {Flight.Status=0}",0.0913221263062244,0.848101265822785,1.05283185903889
"154","{Weather=0,DAY_WEEK=4} => {Flight.Status=0}",0.14311676510677,0.846774193548387,1.05118443316413
"159","{CARRIER=DH,DEST=JFK} => {Flight.Status=0}",0.0858700590640618,0.807692307692308,1.00266822855655
"164","{DEST=JFK,ORIGIN=IAD} => {Flight.Status=0}",0.0758746024534303,0.806763285024155,1.00151494096907
"166","{Time.Bins=2,DEST=JFK} => {Flight.Status=0}",0.0926851431167651,0.784615384615385,0.974020564883509
"172","{DEST=JFK,Weather=0} => {Flight.Status=0}",0.13721035892776,0.798941798941799,0.991805357851607
"175","{Time.Bins=2,CARRIER=DL} => {Flight.Status=0}",0.06860517946388,0.848314606741573,1.05309670019075
"179","{CARRIER=DL,DEST=LGA} => {Flight.Status=0}",0.147660154475239,0.910364145658263,1.13012492080871
"183","{CARRIER=DL,ORIGIN=DCA} => {Flight.Status=0}",0.154929577464789,0.878865979381443,1.09102313627668
"188","{CARRIER=DL,Weather=0} => {Flight.Status=0}",0.154929577464789,0.885714285714286,1.09952461526066
"189","{Time.Bins=2,DAY_WEEK=5} => {Flight.Status=0}",0.0681508405270332,0.77720207253886,0.964817688470407
"193","{DEST=LGA,DAY_WEEK=5} => {Flight.Status=0}",0.0776919582008178,0.834146341463415,1.03550823325492
"195","{ORIGIN=DCA,DAY_WEEK=5} => {Flight.Status=0}",0.0954111767378464,0.853658536585366,1.0597306480679
"200","{Weather=0,DAY_WEEK=5} => {Flight.Status=0}",0.143571104043617,0.81025641025641,1.005851302298
"203","{Time.Bins=1,CARRIER=US} => {Flight.Status=0}",0.0617900954111767,0.912751677852349,1.13308880031191
"207","{Time.Bins=2,CARRIER=US} => {Flight.Status=0}",0.0658791458427987,0.92948717948718,1.1538642312754
"211","{CARRIER=US,DEST=LGA} => {Flight.Status=0}",0.167651067696502,0.913366336633663,1.13385183696035
"215","{CARRIER=US,ORIGIN=DCA} => {Flight.Status=0}",0.167651067696502,0.913366336633663,1.13385183696035
"220","{CARRIER=US,Weather=0} => {Flight.Status=0}",0.167651067696502,0.915632754342432,1.13666536509176
"227","{CARRIER=RU,DEST=EWR} => {Flight.Status=0}",0.142662426169923,0.769607843137255,0.955390221514438
"234","{Time.Bins=2,CARRIER=RU} => {Flight.Status=0}",0.0754202635165834,0.747747747747748,0.928253126222669
"236","{CARRIER=RU,ORIGIN=DCA} => {Flight.Status=0}",0.060881417537483,0.827160493827161,1.02683601066756
"239","{CARRIER=RU,Weather=0} => {Flight.Status=0}",0.142662426169923,0.775308641975309,0.962467186118248
"251","{CARRIER=DH,ORIGIN=IAD} => {Flight.Status=0}",0.17810086324398,0.748091603053435,0.928679987772482
"257","{Time.Bins=2,CARRIER=DH} => {Flight.Status=0}",0.110858700590641,0.737160120845921,0.915109659324237
"261","{CARRIER=DH,Weather=0} => {Flight.Status=0}",0.188096319854612,0.766666666666667,0.951739048693363
"262","{DEST=EWR,ORIGIN=IAD} => {Flight.Status=0}",0.0999545661063153,0.748299319727891,0.92893784699441
"264","{Time.Bins=1,DEST=EWR} => {Flight.Status=0}",0.0817810086324398,0.865384615384615,1.07428738773916
"266","{Time.Bins=2,DEST=EWR} => {Flight.Status=0}",0.117673784643344,0.723463687150838,0.898106923530172
"268","{DEST=EWR,ORIGIN=DCA} => {Flight.Status=0}",0.0917764652430713,0.7890625,0.979541208403835
"271","{DEST=EWR,Weather=0} => {Flight.Status=0}",0.228986824170831,0.767123287671233,0.952305897441841
"272","{Time.Bins=1,ORIGIN=IAD} => {Flight.Status=0}",0.0704225352112676,0.824468085106383,1.02349365782242
"274","{Time.Bins=2,ORIGIN=IAD} => {Flight.Status=0}",0.128577919127669,0.742782152230971,0.922088842109626
"278","{ORIGIN=IAD,Weather=0} => {Flight.Status=0}",0.234438891412994,0.767857142857143,0.953216904359036
"281","{Time.Bins=1,DEST=LGA} => {Flight.Status=0}",0.169468423443889,0.867441860465116,1.0768412492294
"285","{Time.Bins=1,ORIGIN=DCA} => {Flight.Status=0}",0.185824625170377,0.893013100436681,1.10858535480041
"290","{Time.Bins=1,Weather=0} => {Flight.Status=0}",0.275329395729214,0.880813953488372,1.09344134891591
"293","{Time.Bins=2,DEST=LGA} => {Flight.Status=0}",0.184461608359836,0.828571428571429,1.02858754330836
"295","{Time.Bins=2,ORIGIN=DCA} => {Flight.Status=0}",0.236256247160382,0.818897637795276,1.01657851144241
"298","{Time.Bins=2,Weather=0} => {Flight.Status=0}",0.394820536119945,0.795787545787546,0.987889671899824
"299","{DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.380736029077692,0.86839378238342,1.0780229639176
"306","{DEST=LGA,Weather=0} => {Flight.Status=0}",0.43934575193094,0.852733686067019,1.05858253978201
"308","{ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.522035438437074,0.849223946784922,1.05422555379222
"310","{Time.Bins=3,DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.0667878237164925,0.835227272727273,1.03685009998462
"317","{Time.Bins=3,DEST=LGA,Weather=0} => {Flight.Status=0}",0.0667878237164925,0.84,1.04277495769882
"320","{Time.Bins=3,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0822353475692867,0.797356828193833,0.989837777131768
"322","{CARRIER=MQ,DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.0654248069059518,0.705882352941177,0.876281477057828
"329","{CARRIER=MQ,DEST=LGA,Weather=0} => {Flight.Status=0}",0.0654248069059518,0.730964467005076,0.907418382333995
"332","{CARRIER=MQ,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0976828714220809,0.754385964912281,0.93649380077379
"338","{DEST=LGA,Weather=0,DAY_WEEK=2} => {Flight.Status=0}",0.0681508405270332,0.903614457831325,1.12174586671559
"341","{ORIGIN=DCA,Weather=0,DAY_WEEK=2} => {Flight.Status=0}",0.0758746024534303,0.860824742268041,1.0686267669103
"347","{DEST=LGA,Weather=0,DAY_WEEK=1} => {Flight.Status=0}",0.0604270786006361,0.815950920245399,1.01292045993239
"349","{ORIGIN=DCA,Weather=0,DAY_WEEK=1} => {Flight.Status=0}",0.0699681962744207,0.83695652173913,1.03899678756223
"355","{DEST=LGA,Weather=0,DAY_WEEK=3} => {Flight.Status=0}",0.0658791458427987,0.833333333333333,1.03449896597105
"357","{ORIGIN=DCA,Weather=0,DAY_WEEK=3} => {Flight.Status=0}",0.0772376192639709,0.833333333333333,1.03449896597105
"360","{Time.Bins=2,Weather=0,DAY_WEEK=4} => {Flight.Status=0}",0.0731485688323489,0.851851851851852,1.05748783188151
"361","{DEST=LGA,ORIGIN=DCA,DAY_WEEK=4} => {Flight.Status=0}",0.064970467969105,0.856287425149701,1.06299414706965
"368","{DEST=LGA,Weather=0,DAY_WEEK=4} => {Flight.Status=0}",0.072694229895502,0.816326530612245,1.01338674217572
"370","{ORIGIN=DCA,Weather=0,DAY_WEEK=4} => {Flight.Status=0}",0.0913221263062244,0.848101265822785,1.05283185903889
"375","{CARRIER=DH,DEST=JFK,ORIGIN=IAD} => {Flight.Status=0}",0.0758746024534303,0.806763285024155,1.00151494096907
"381","{Time.Bins=2,CARRIER=DH,DEST=JFK} => {Flight.Status=0}",0.0631531122217174,0.827380952380952,1.02710968764268
"388","{CARRIER=DH,DEST=JFK,Weather=0} => {Flight.Status=0}",0.0858700590640618,0.821739130434783,1.02010593687928
"393","{DEST=JFK,ORIGIN=IAD,Weather=0} => {Flight.Status=0}",0.0758746024534303,0.822660098522167,1.02124922552019
"395","{Time.Bins=2,DEST=JFK,Weather=0} => {Flight.Status=0}",0.0926851431167651,0.796875,0.989239636209814
"399","{Time.Bins=2,CARRIER=DL,DEST=LGA} => {Flight.Status=0}",0.0613357564743299,0.918367346938776,1.14006008494768
"403","{Time.Bins=2,CARRIER=DL,ORIGIN=DCA} => {Flight.Status=0}",0.06860517946388,0.848314606741573,1.05309670019075
"408","{Time.Bins=2,CARRIER=DL,Weather=0} => {Flight.Status=0}",0.06860517946388,0.857954545454545,1.06506370814746
"409","{CARRIER=DL,DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.147660154475239,0.910364145658263,1.13012492080871
"416","{CARRIER=DL,DEST=LGA,Weather=0} => {Flight.Status=0}",0.147660154475239,0.915492957746479,1.13649182177101
"419","{CARRIER=DL,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.154929577464789,0.885714285714286,1.09952461526066
"422","{Time.Bins=2,Weather=0,DAY_WEEK=5} => {Flight.Status=0}",0.0681508405270332,0.77720207253886,0.964817688470407
"423","{DEST=LGA,ORIGIN=DCA,DAY_WEEK=5} => {Flight.Status=0}",0.06860517946388,0.872832369942196,1.08353302100551
"430","{DEST=LGA,Weather=0,DAY_WEEK=5} => {Flight.Status=0}",0.0776919582008178,0.838235294117647,1.04058425400617
"432","{ORIGIN=DCA,Weather=0,DAY_WEEK=5} => {Flight.Status=0}",0.0954111767378464,0.857142857142857,1.06405607928451
"436","{Time.Bins=1,CARRIER=US,DEST=LGA} => {Flight.Status=0}",0.0617900954111767,0.912751677852349,1.13308880031191
"440","{Time.Bins=1,CARRIER=US,ORIGIN=DCA} => {Flight.Status=0}",0.0617900954111767,0.912751677852349,1.13308880031191
"445","{Time.Bins=1,CARRIER=US,Weather=0} => {Flight.Status=0}",0.0617900954111767,0.918918918918919,1.14074480571943
"448","{Time.Bins=2,CARRIER=US,DEST=LGA} => {Flight.Status=0}",0.0658791458427987,0.92948717948718,1.1538642312754
"452","{Time.Bins=2,CARRIER=US,ORIGIN=DCA} => {Flight.Status=0}",0.0658791458427987,0.92948717948718,1.1538642312754
"457","{Time.Bins=2,CARRIER=US,Weather=0} => {Flight.Status=0}",0.0658791458427987,0.92948717948718,1.1538642312754
"458","{CARRIER=US,DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.167651067696502,0.913366336633663,1.13385183696035
"465","{CARRIER=US,DEST=LGA,Weather=0} => {Flight.Status=0}",0.167651067696502,0.915632754342432,1.13666536509176
"468","{CARRIER=US,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.167651067696502,0.915632754342432,1.13666536509176
"473","{Time.Bins=2,CARRIER=RU,DEST=EWR} => {Flight.Status=0}",0.0754202635165834,0.747747747747748,0.928253126222669
"479","{CARRIER=RU,DEST=EWR,ORIGIN=DCA} => {Flight.Status=0}",0.060881417537483,0.827160493827161,1.02683601066756
"486","{CARRIER=RU,DEST=EWR,Weather=0} => {Flight.Status=0}",0.142662426169923,0.775308641975309,0.962467186118248
"490","{Time.Bins=2,CARRIER=RU,Weather=0} => {Flight.Status=0}",0.0754202635165834,0.751131221719457,0.932453366612817
"492","{CARRIER=RU,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.060881417537483,0.832298136645963,1.03321387408785
"495","{Time.Bins=2,CARRIER=DH,ORIGIN=IAD} => {Flight.Status=0}",0.100863243980009,0.730263157894737,0.906547778074628
"505","{CARRIER=DH,ORIGIN=IAD,Weather=0} => {Flight.Status=0}",0.17810086324398,0.764132553606238,0.948593203884562
"509","{Time.Bins=2,CARRIER=DH,Weather=0} => {Flight.Status=0}",0.110858700590641,0.755417956656347,0.937774914044342
"512","{DEST=EWR,ORIGIN=IAD,Weather=0} => {Flight.Status=0}",0.0999545661063153,0.758620689655172,0.941750782815022
"514","{Time.Bins=1,DEST=EWR,Weather=0} => {Flight.Status=0}",0.0817810086324398,0.878048780487805,1.09000866658413
"517","{Time.Bins=2,DEST=EWR,Weather=0} => {Flight.Status=0}",0.117673784643344,0.73371104815864,0.910827984769976
"519","{DEST=EWR,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0917764652430713,0.798418972332016,0.991156321546964
"521","{Time.Bins=1,ORIGIN=IAD,Weather=0} => {Flight.Status=0}",0.0704225352112676,0.842391304347826,1.04574351994899
"523","{Time.Bins=2,ORIGIN=IAD,Weather=0} => {Flight.Status=0}",0.128577919127669,0.758713136729222,0.941865546498037
"524","{Time.Bins=1,DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.14311676510677,0.884831460674157,1.09842867735128
"531","{Time.Bins=1,DEST=LGA,Weather=0} => {Flight.Status=0}",0.169468423443889,0.883886255924171,1.09725530134749
"534","{Time.Bins=1,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.185824625170377,0.904867256637168,1.12330108959865
"536","{Time.Bins=2,DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.161290322580645,0.870098039215686,1.08013862623448
"543","{Time.Bins=2,DEST=LGA,Weather=0} => {Flight.Status=0}",0.184461608359836,0.840579710144927,1.0434946091534
"545","{Time.Bins=2,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.236256247160382,0.829346092503987,1.029549210153
"547","{DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.380736029077692,0.877486910994764,1.08931116249265
"551","{Time.Bins=3,DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0667878237164925,0.84,1.04277495769882
"555","{CARRIER=MQ,DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0654248069059518,0.730964467005076,0.907418382333995
"559","{DEST=LGA,ORIGIN=DCA,Weather=0,DAY_WEEK=4} => {Flight.Status=0}",0.064970467969105,0.856287425149701,1.06299414706965
"567","{CARRIER=DH,DEST=JFK,ORIGIN=IAD,Weather=0} => {Flight.Status=0}",0.0758746024534303,0.822660098522167,1.02124922552019
"571","{Time.Bins=2,CARRIER=DH,DEST=JFK,Weather=0} => {Flight.Status=0}",0.0631531122217174,0.837349397590361,1.03948450315645
"574","{Time.Bins=2,CARRIER=DL,DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.0613357564743299,0.918367346938776,1.14006008494768
"581","{Time.Bins=2,CARRIER=DL,DEST=LGA,Weather=0} => {Flight.Status=0}",0.0613357564743299,0.924657534246575,1.1478687156665
"584","{Time.Bins=2,CARRIER=DL,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.06860517946388,0.857954545454545,1.06506370814746
"587","{CARRIER=DL,DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.147660154475239,0.915492957746479,1.13649182177101
"591","{DEST=LGA,ORIGIN=DCA,Weather=0,DAY_WEEK=5} => {Flight.Status=0}",0.06860517946388,0.877906976744186,1.08983263159275
"594","{Time.Bins=1,CARRIER=US,DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.0617900954111767,0.912751677852349,1.13308880031191
"601","{Time.Bins=1,CARRIER=US,DEST=LGA,Weather=0} => {Flight.Status=0}",0.0617900954111767,0.918918918918919,1.14074480571943
"604","{Time.Bins=1,CARRIER=US,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0617900954111767,0.918918918918919,1.14074480571943
"606","{Time.Bins=2,CARRIER=US,DEST=LGA,ORIGIN=DCA} => {Flight.Status=0}",0.0658791458427987,0.92948717948718,1.1538642312754
"613","{Time.Bins=2,CARRIER=US,DEST=LGA,Weather=0} => {Flight.Status=0}",0.0658791458427987,0.92948717948718,1.1538642312754
"616","{Time.Bins=2,CARRIER=US,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0658791458427987,0.92948717948718,1.1538642312754
"619","{CARRIER=US,DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.167651067696502,0.915632754342432,1.13666536509176
"623","{Time.Bins=2,CARRIER=RU,DEST=EWR,Weather=0} => {Flight.Status=0}",0.0754202635165834,0.751131221719457,0.932453366612817
"627","{CARRIER=RU,DEST=EWR,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.060881417537483,0.832298136645963,1.03321387408785
"631","{Time.Bins=2,CARRIER=DH,ORIGIN=IAD,Weather=0} => {Flight.Status=0}",0.100863243980009,0.75,0.931049069373942
"635","{Time.Bins=1,DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.14311676510677,0.897435897435897,1.11407580950728
"639","{Time.Bins=2,DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.161290322580645,0.878712871287129,1.09083306807838
"643","{Time.Bins=2,CARRIER=DL,DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0613357564743299,0.924657534246575,1.1478687156665
"647","{Time.Bins=1,CARRIER=US,DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0617900954111767,0.918918918918919,1.14074480571943
"651","{Time.Bins=2,CARRIER=US,DEST=LGA,ORIGIN=DCA,Weather=0} => {Flight.Status=0}",0.0658791458427987,0.92948717948718,1.1538642312754
